onset	duration	stim	cond	resp	acc	RT
212.214	0.514	AFTERNOON	lure	n/a	1	n/a
212.814	0.455	JAILER	lure	n/a	1	n/a
213.281	0.712	TUB	lure	n/a	1	n/a
213.998	0.501	INACTION	lure	n/a	1	n/a
214.514	2.003	PHONE	long	n/a	1	n/a
216.531	0.494	ARBOR	lure	n/a	1	n/a
217.031	0.496	GUSHER	lure	n/a	1	n/a
217.531	0.421	SPECTRUM	lure	n/a	1	n/a
217.964	0.555	CLOSURE	lure	n/a	1	n/a
218.531	0.307	JOYSTICK	lure	n/a	1	n/a
218.85	0.682	PROSECUTOR	lure	n/a	1	n/a
219.548	0.535	PANTRY	lure	n/a	1	n/a
220.098	0.732	HONEY	lure	n/a	1	n/a
220.848	0.596	PUSHOVER	lure	n/a	1	n/a
221.448	0.435	LATCH	lure	n/a	1	n/a
221.898	0.703	SOYBEAN	lure	n/a	1	n/a
222.614	0.35	SUPERMAN	lure	n/a	1	n/a
222.981	0.306	HOOD	lure	n/a	1	n/a
223.297	0.655	HAREM	lure	n/a	1	n/a
223.964	0.547	DIRECTION	lure	n/a	1	n/a
224.514	0.617	GLEN	lure	n/a	1	n/a
225.214	0.548	BOULDER	lure	n/a	1	n/a
225.781	0.32	HEARSE	lure	n/a	1	n/a
226.114	0.467	GROUNDWORK	lure	n/a	1	n/a
226.597	0.316	INCREASE	lure	n/a	1	n/a
226.931	0.497	FLINTSTONE	lure	n/a	1	n/a
227.431	0.383	SUBURB	lure	n/a	1	n/a
227.831	0.368	MUTTON	lure	n/a	1	n/a
228.214	0.517	CONTEST	lure	n/a	1	n/a
228.747	0.715	HYPHEN	lure	n/a	1	n/a
229.481	0.428	BOOKSTALL	lure	n/a	1	n/a
229.914	0.511	CAMPSITE	lure	n/a	1	n/a
230.431	0.555	DOORNAIL	lure	n/a	1	n/a
230.997	0.596	TRUCE	lure	n/a	1	n/a
231.597	0.405	DRAY	lure	n/a	1	n/a
232.014	0.601	FREIGHTER	lure	n/a	1	n/a
